2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
https://www.fueleconomy.gov/feg/download.shtml
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG
LARGE CARS,CHRYSLER,300/SRT-8,8,16.3,26,19.5886
LARGE CARS,DODGE,CHARGER,6,23.1,35.8989,27.5143
LARGE CARS,DODGE,CHARGER,6,20.5,34.7,25.1272
LARGE CARS,DODGE,CHARGER,6,21.5,34.2,25.8136
LARGE CARS,DODGE,CHARGER,8,19.3,34.5,24.0727
LARGE CARS,DODGE,CHARGER,8,16.3,26,19.5886
LARGE CARS,DODGE,CHARGER AWD,6,20.7,32.1,24.6374
LARGE CARS,DODGE,CHARGER AWD,8,19.5,31.9,23.6341
LARGE CARS,FORD,CROWN VICTORIA FFV,8,14.4379,23.9476,17.5793
LARGE CARS,FORD,CROWN VICTORIA FFV,8,19.7458,33.0928,24.1242
LARGE CARS,FORD,TAURUS AWD,6,20.6,33.2,24.8427
LARGE CARS,FORD,TAURUS FWD,6,22.3,38.5,27.5088
